Date,High,Low,Open,Close,Volume,Adj Close
2019-01-02,16.049999237060547,15.199999809265137,15.239999771118164,15.850000381469727,7918900,15.850000381469727
2019-01-03,16.84000015258789,16.229999542236328,16.420000076293945,16.489999771118164,14795900,16.489999771118164
2019-01-04,17.510000228881836,16.670000076293945,16.81999969482422,17.3700008392334,11256400,17.3700008392334
2019-01-07,18.299999237060547,17.190000534057617,17.530000686645508,17.670000076293945,13456300,17.670000076293945
2019-01-08,17.8700008392334,17.149999618530273,17.84000015258789,17.68000030517578,11237700,17.68000030517578
2019-01-09,18.229999542236328,17.530000686645508,17.75,17.959999084472656,9303700,17.959999084472656
2019-01-10,18.170000076293945,17.65999984741211,17.899999618530273,18.170000076293945,7840300,18.170000076293945
2019-01-11,18.530000686645508,18.1299991607666,18.209999084472656,18.450000762939453,8580200,18.450000762939453
2019-01-14,18.600000381469727,18.15999984741211,18.15999984741211,18.469999313354492,7613500,18.469999313354492
2019-01-15,18.989999771118164,18.469999313354492,18.489999771118164,18.829999923706055,11799100,18.829999923706055
2019-01-16,19.149999618530273,18.530000686645508,18.850000381469727,18.649999618530273,7058800,18.649999618530273
2019-01-17,18.899999618530273,18.549999237060547,18.649999618530273,18.760000228881836,4945700,18.760000228881836
2019-01-18,18.90999984741211,18.510000228881836,18.90999984741211,18.81999969482422,4853200,18.81999969482422
2019-01-22,18.850000381469727,18.489999771118164,18.649999618530273,18.75,11035500,18.75
2019-01-23,19.690000534057617,19.15999984741211,19.360000610351562,19.459999084472656,11722900,19.459999084472656
2019-01-24,19.40999984741211,19.100000381469727,19.139999389648438,19.34000015258789,6306900,19.34000015258789
2019-01-25,19.709999084472656,19.420000076293945,19.479999542236328,19.559999465942383,7388500,19.559999465942383
2019-01-28,19.84000015258789,19.3799991607666,19.420000076293945,19.780000686645508,8014100,19.780000686645508
2019-01-29,19.8799991607666,19.600000381469727,19.84000015258789,19.75,4281400,19.75
2019-01-30,20.049999237060547,19.700000762939453,19.8799991607666,20.010000228881836,5648400,20.010000228881836
2019-01-31,20.06999969482422,19.700000762939453,19.959999084472656,19.850000381469727,5677500,19.850000381469727
2019-02-01,20.139999389648438,19.670000076293945,20.079999923706055,19.700000762939453,6058900,19.700000762939453
2019-02-04,19.760000228881836,19.540000915527344,19.610000610351562,19.670000076293945,4665700,19.670000076293945
2019-02-05,20.209999084472656,19.6200008392334,19.700000762939453,19.959999084472656,5195700,19.959999084472656
2019-02-06,20.0,19.15999984741211,19.90999984741211,19.170000076293945,9914600,19.170000076293945
2019-02-07,19.09000015258789,18.290000915527344,19.09000015258789,18.350000381469727,11101700,18.350000381469727
2019-02-08,18.43000030517578,17.8799991607666,18.25,18.219999313354492,7717900,18.219999313354492
2019-02-11,18.81999969482422,18.309999465942383,18.309999465942383,18.81999969482422,8726800,18.81999969482422
2019-02-12,19.209999084472656,18.93000030517578,18.950000762939453,19.1200008392334,11507400,19.1200008392334
2019-02-13,18.149999618530273,16.940000534057617,17.18000030517578,17.6299991607666,54906400,17.6299991607666
